id,inquiry_id,size,color,quantity,type,created_at,updated_at
527,795,44,red,0,sample,2022-08-31 15:59:47,2022-08-31 15:59:47
528,795,46,red,1,sample,2022-08-31 15:59:47,2022-08-31 15:59:47
529,795,48,red,0,sample,2022-08-31 15:59:47,2022-08-31 15:59:47
530,795,34,red,55,bulk,2022-08-31 15:59:47,2022-08-31 15:59:47
531,795,36,red,0,bulk,2022-08-31 15:59:47,2022-08-31 15:59:47
532,795,38,red,0,bulk,2022-08-31 15:59:47,2022-08-31 15:59:47
533,795,40,red,0,bulk,2022-08-31 15:59:47,2022-08-31 15:59:47
534,795,42,red,0,bulk,2022-08-31 15:59:47,2022-08-31 15:59:47
535,795,44,red,0,bulk,2022-08-31 15:59:47,2022-08-31 15:59:47
536,795,46,red,0,bulk,2022-08-31 15:59:47,2022-08-31 15:59:47
537,795,48,red,,bulk,2022-08-31 15:59:47,2022-08-31 15:59:47
538,800,small,14-4318,0,sample,2022-10-10 12:44:42,2022-10-10 12:44:42
539,800,medium,14-4318,1,sample,2022-10-10 12:44:42,2022-10-10 12:44:42
540,800,large,14-4318,,sample,2022-10-10 12:44:42,2022-10-10 12:44:42
541,800,small,11-4201,,sample,2022-10-10 12:44:42,2022-10-10 12:44:42
542,800,medium,11-4201,1,sample,2022-10-10 12:44:42,2022-10-10 12:44:42
543,800,large,11-4201,,sample,2022-10-10 12:44:42,2022-10-10 12:44:42
544,800,small,18-0601,,sample,2022-10-10 12:44:42,2022-10-10 12:44:42
545,800,medium,18-0601,1,sample,2022-10-10 12:44:42,2022-10-10 12:44:42
546,800,large,18-0601,,sample,2022-10-10 12:44:42,2022-10-10 12:44:42
547,800,small,14-4318,5,bulk,2022-10-10 12:44:42,2022-10-10 12:44:42
548,800,medium,14-4318,8,bulk,2022-10-10 12:44:42,2022-10-10 12:44:42
549,800,large,14-4318,5,bulk,2022-10-10 12:44:42,2022-10-10 12:44:42
550,800,small,11-4201,5,bulk,2022-10-10 12:44:42,2022-10-10 12:44:42
551,800,medium,11-4201,6,bulk,2022-10-10 12:44:42,2022-10-10 12:44:42
552,800,large,11-4201,5,bulk,2022-10-10 12:44:42,2022-10-10 12:44:42
553,800,small,18-0601,5,bulk,2022-10-10 12:44:42,2022-10-10 12:44:42
554,800,medium,18-0601,6,bulk,2022-10-10 12:44:42,2022-10-10 12:44:42
555,800,large,18-0601,5,bulk,2022-10-10 12:44:42,2022-10-10 12:44:42
556,619,34,4,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
557,619,36,4,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
558,619,38,4,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
559,619,40,4,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
560,619,42,4,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
561,619,44,4,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
562,619,46,4,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
563,619,48,4,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
564,619,52,4,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
565,619,54,4,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
566,655,UK 8,#868493,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
567,655,UK 10,#868493,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
568,655,UK 12,#868493,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
569,655,UK 14,#868493,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
570,655,UK 16,#868493,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
571,655,UK 18,#868493,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
572,458,34,Red,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
573,458,36,Red,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
574,458,38,Red,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
575,458,40,Red,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
576,458,42,Red,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
577,458,44,Red,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
578,458,46,Red,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
579,458,48,Red,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
580,458,52,Red,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
581,458,54,Red,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
582,768,UK 8,1,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
583,768,UK 10,1,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
584,768,UK 12,1,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
585,768,UK 14,1,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
586,768,UK 16,1,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
587,768,UK 18,1,,sample,2022-10-15 11:17:07,2022-10-15 11:17:07
672,833,UK 8,red,3,sample,2022-12-10 12:09:02,2022-12-10 12:09:02
673,833,UK 10,red,2,sample,2022-12-10 12:09:02,2022-12-10 12:09:02
674,833,UK 12,red,0,sample,2022-12-10 12:09:02,2022-12-10 12:09:02
675,833,UK 14,red,0,sample,2022-12-10 12:09:02,2022-12-10 12:09:02
676,833,UK 16,red,0,sample,2022-12-10 12:09:02,2022-12-10 12:09:02
677,833,UK 18,red,0,sample,2022-12-10 12:09:02,2022-12-10 12:09:02
678,833,UK 8,red,400,bulk,2022-12-10 12:09:02,2022-12-10 12:09:02
679,833,UK 10,red,0,bulk,2022-12-10 12:09:02,2022-12-10 12:09:02
680,833,UK 12,red,0,bulk,2022-12-10 12:09:02,2022-12-10 12:09:02
681,833,UK 14,red,0,bulk,2022-12-10 12:09:02,2022-12-10 12:09:02
682,833,UK 16,red,0,bulk,2022-12-10 12:09:02,2022-12-10 12:09:02
683,833,UK 18,red,0,bulk,2022-12-10 12:09:02,2022-12-10 12:09:02
684,619,EU 50,4,0,sample,2022-12-11 14:38:56,2022-12-11 14:38:56
685,619,EU 50,4,0,bulk,2022-12-11 14:38:56,2022-12-11 14:38:56
686,458,EU 50,Red,0,sample,2022-12-11 14:38:56,2022-12-11 14:38:56
687,458,EU 50,Red,0,bulk,2022-12-11 14:38:56,2022-12-11 14:38:56
688,840,US 2,white,0,sample,2022-12-14 14:42:31,2022-12-14 14:42:31
689,840,US 4,white,2,sample,2022-12-14 14:42:31,2022-12-14 14:42:31
