id,inquiry_id,cost_service_id,income,payment,profit_or_loss_amount,profit_or_loss_status,created_at,updated_at,supplier_id
182,60,6,0.0,0.0,0.0,3,,,
183,60,7,0.0,0.0,0.0,3,,,
184,60,8,0.0,0.0,0.0,3,,,
185,61,1,0.0,0.0,0.0,3,,,
186,61,2,0.0,0.0,0.0,3,,,
187,61,3,0.0,0.0,0.0,3,,,
188,61,4,0.0,0.0,0.0,3,,,
189,61,5,0.0,0.0,0.0,3,,,
190,61,6,0.0,0.0,0.0,3,,,
191,61,7,0.0,0.0,0.0,3,,,
192,61,8,0.0,0.0,0.0,3,,,
193,62,1,0.0,0.0,0.0,3,,,
194,62,2,0.0,0.0,0.0,3,,,
195,62,3,0.0,0.0,0.0,3,,,
196,62,4,0.0,0.0,0.0,3,,,
197,62,5,0.0,0.0,0.0,3,,,
198,62,6,0.0,0.0,0.0,3,,,
199,62,7,0.0,0.0,0.0,3,,,
200,62,8,0.0,0.0,0.0,3,,,
201,63,1,0.0,0.0,0.0,3,,,
202,63,2,0.0,0.0,0.0,3,,,
203,63,3,0.0,0.0,0.0,3,,,
204,63,4,0.0,0.0,0.0,3,,,
205,63,5,0.0,0.0,0.0,3,,,
206,63,6,0.0,0.0,0.0,3,,,
207,63,7,0.0,0.0,0.0,3,,,
208,63,8,0.0,0.0,0.0,3,,,
209,87,1,0.0,0.0,0.0,3,,,
210,87,2,0.0,0.0,0.0,3,,,
211,87,3,0.0,0.0,0.0,3,,,
212,87,4,0.0,0.0,0.0,3,,,
213,87,5,0.0,0.0,0.0,3,,,
214,87,6,0.0,0.0,0.0,3,,,
215,87,7,0.0,0.0,0.0,3,,,
216,87,8,0.0,0.0,0.0,3,,,
217,89,1,0.0,0.0,0.0,3,,,
218,89,2,0.0,0.0,0.0,3,,,
219,89,3,0.0,0.0,0.0,3,,,
220,89,4,0.0,0.0,0.0,3,,,
221,89,5,0.0,0.0,0.0,3,,,
222,89,6,0.0,0.0,0.0,3,,,
223,89,7,0.0,0.0,0.0,3,,,
224,89,8,0.0,0.0,0.0,3,,,
225,91,1,0.0,0.0,0.0,3,,,
226,91,2,0.0,0.0,0.0,3,,,
227,91,3,0.0,0.0,0.0,3,,,
228,91,4,0.0,0.0,0.0,3,,,
229,91,5,0.0,0.0,0.0,3,,,
230,91,6,0.0,0.0,0.0,3,,,
231,91,7,0.0,0.0,0.0,3,,,
232,91,8,0.0,0.0,0.0,3,,,
233,92,1,0.0,0.0,0.0,3,,,
234,92,2,0.0,0.0,0.0,3,,,
235,92,3,0.0,0.0,0.0,3,,,
236,92,4,0.0,0.0,0.0,3,,,
237,92,5,0.0,0.0,0.0,3,,,
238,92,6,0.0,0.0,0.0,3,,,
239,92,7,0.0,0.0,0.0,3,,,
240,92,8,0.0,0.0,0.0,3,,,
241,93,1,0.0,0.0,0.0,3,,,
242,93,2,0.0,0.0,0.0,3,,,
243,93,3,0.0,0.0,0.0,3,,,
244,93,4,0.0,0.0,0.0,3,,,
245,93,5,0.0,0.0,0.0,3,,,
246,93,6,0.0,0.0,0.0,3,,,
247,93,7,0.0,0.0,0.0,3,,,
248,93,8,0.0,0.0,0.0,3,,,
249,94,1,0.0,0.0,0.0,3,,,
250,94,2,0.0,0.0,0.0,3,,,
251,94,3,0.0,0.0,0.0,3,,,
252,94,4,0.0,0.0,0.0,3,,,
253,94,5,0.0,0.0,0.0,3,,,
254,94,6,0.0,0.0,0.0,3,,,
255,94,7,0.0,0.0,0.0,3,,,
256,94,8,0.0,0.0,0.0,3,,,
257,95,1,0.0,0.0,0.0,3,,,
258,95,2,0.0,0.0,0.0,3,,,
259,95,3,0.0,0.0,0.0,3,,,
260,95,4,0.0,0.0,0.0,3,,,
261,95,5,0.0,0.0,0.0,3,,,
262,95,6,0.0,0.0,0.0,3,,,
263,95,7,0.0,0.0,0.0,3,,,
264,95,8,0.0,0.0,0.0,3,,,
265,96,1,0.0,0.0,0.0,3,,,
