id,inquiry_id,supplier_id,created_at,updated_at
160,612,1813,2021-12-16 12:06:25,2021-12-16 12:06:25
161,612,1814,2021-12-16 12:06:28,2021-12-16 12:06:28
162,613,293,2022-01-05 08:40:56,2022-01-05 08:40:56
163,628,1810,2022-01-06 05:24:11,2022-01-06 05:24:11
164,628,1813,2022-01-06 05:24:24,2022-01-06 05:24:24
165,627,1810,2022-01-06 05:29:49,2022-01-06 05:29:49
166,627,1813,2022-01-06 05:30:02,2022-01-06 05:30:02
167,626,1810,2022-01-06 05:31:13,2022-01-06 05:31:13
168,626,1813,2022-01-06 05:31:29,2022-01-06 05:31:29
169,625,1810,2022-01-06 05:32:27,2022-01-06 05:32:27
170,625,1813,2022-01-06 05:32:37,2022-01-06 05:32:37
171,624,1810,2022-01-06 05:34:22,2022-01-06 05:34:22
172,624,1813,2022-01-06 05:35:51,2022-01-06 05:35:51
175,601,254,2022-01-06 06:34:15,2022-01-06 06:34:15
176,601,410,2022-01-06 06:34:28,2022-01-06 06:34:28
177,604,1730,2022-01-07 06:27:06,2022-01-07 06:27:06
180,632,230,2022-01-20 16:15:27,2022-01-20 16:15:27
181,619,293,2022-01-21 07:27:41,2022-01-21 07:27:41
182,619,230,2022-01-21 07:33:59,2022-01-21 07:33:59
183,594,1840,2022-01-21 16:00:38,2022-01-21 16:00:38
184,541,1844,2022-01-27 17:28:20,2022-01-27 17:28:20
185,620,1786,2022-02-01 17:57:32,2022-02-01 17:57:32
186,517,1848,2022-02-02 08:48:36,2022-02-02 08:48:36
187,634,386,2022-02-03 13:56:37,2022-02-03 13:56:37
188,633,386,2022-02-03 14:01:22,2022-02-03 14:01:22
189,636,293,2022-02-03 14:18:31,2022-02-03 14:18:31
190,566,1844,2022-02-03 18:03:06,2022-02-03 18:03:06
191,537,1844,2022-02-03 18:12:49,2022-02-03 18:12:49
192,637,386,2022-02-04 16:53:47,2022-02-04 16:53:47
195,596,1844,2022-02-09 08:22:24,2022-02-09 08:22:24
196,632,1844,2022-02-09 08:31:51,2022-02-09 08:31:51
198,632,1788,2022-02-21 11:25:08,2022-02-21 11:25:08
199,619,1810,2022-02-22 14:02:38,2022-02-22 14:02:38
200,619,1813,2022-02-22 14:02:41,2022-02-22 14:02:41
201,619,1814,2022-02-22 14:02:44,2022-02-22 14:02:44
202,517,1844,2022-02-22 14:38:59,2022-02-22 14:38:59
203,635,254,2022-02-25 18:26:58,2022-02-25 18:26:58
204,635,410,2022-02-25 18:27:00,2022-02-25 18:27:00
205,594,1844,2022-03-02 03:27:35,2022-03-02 03:27:35
206,596,1870,2022-03-07 18:37:13,2022-03-07 18:37:13
207,619,1870,2022-03-07 18:39:10,2022-03-07 18:39:10
208,636,1870,2022-03-08 09:43:00,2022-03-08 09:43:00
210,644,1870,2022-03-16 07:04:32,2022-03-16 07:04:32
211,644,1788,2022-03-17 08:16:57,2022-03-17 08:16:57
212,566,1870,2022-03-21 17:00:20,2022-03-21 17:00:20
213,505,1844,2022-03-24 03:33:35,2022-03-24 03:33:35
214,672,230,2022-04-11 15:52:03,2022-04-11 15:52:03
215,640,1920,2022-04-20 15:00:20,2022-04-20 15:00:20
